index, 0000000001, temp, 55.700, fisrtframe, 108.707, 16frames_time, 172.548, imgproc_time, 327.120, 
index, 0000000002, temp, 55.700, fisrtframe, 33.910, 16frames_time, 128.655, imgproc_time, 93.748, 
index, 0000000003, temp, 55.700, fisrtframe, 33.587, 16frames_time, 127.290, imgproc_time, 65.823, 
index, 0000000004, temp, 55.700, fisrtframe, 34.905, 16frames_time, 129.650, imgproc_time, 71.806, 
index, 0000000005, temp, 55.700, fisrtframe, 33.260, 16frames_time, 127.947, imgproc_time, 67.716, 
index, 0000000006, temp, 55.700, fisrtframe, 35.991, 16frames_time, 130.294, imgproc_time, 68.850, 
index, 0000000007, temp, 55.700, fisrtframe, 34.903, 16frames_time, 130.062, imgproc_time, 59.839, 
index, 0000000008, temp, 55.700, fisrtframe, 35.519, 16frames_time, 131.266, imgproc_time, 57.868, 
index, 0000000009, temp, 55.700, fisrtframe, 37.100, 16frames_time, 126.631, imgproc_time, 87.752, 
index, 0000000010, temp, 55.700, fisrtframe, 31.788, 16frames_time, 126.286, imgproc_time, 75.794, 
index, 0000000011, temp, 55.700, fisrtframe, 35.173, 16frames_time, 127.926, imgproc_time, 64.822, 
index, 0000000012, temp, 55.700, fisrtframe, 32.230, 16frames_time, 126.602, imgproc_time, 59.867, 
index, 0000000013, temp, 55.700, fisrtframe, 33.924, 16frames_time, 128.028, imgproc_time, 60.825, 
index, 0000000014, temp, 55.700, fisrtframe, 38.895, 16frames_time, 132.682, imgproc_time, 67.816, 
index, 0000000015, temp, 55.700, fisrtframe, 33.909, 16frames_time, 133.641, imgproc_time, 274.262, 
index, 0000000016, temp, 55.700, fisrtframe, 32.910, 16frames_time, 163.560, imgproc_time, 158.574, 
index, 0000000017, temp, 55.700, fisrtframe, 45.876, 16frames_time, 130.649, imgproc_time, 135.636, 
index, 0000000018, temp, 55.700, fisrtframe, 33.908, 16frames_time, 128.654, imgproc_time, 95.743, 
index, 0000000019, temp, 55.700, fisrtframe, 31.915, 16frames_time, 126.661, imgproc_time, 98.733, 
index, 0000000020, temp, 55.700, fisrtframe, 32.911, 16frames_time, 126.659, imgproc_time, 85.769, 
index, 0000000021, temp, 55.700, fisrtframe, 34.907, 16frames_time, 130.653, imgproc_time, 106.713, 
index, 0000000022, temp, 55.700, fisrtframe, 41.887, 16frames_time, 136.633, imgproc_time, 90.757, 
index, 0000000023, temp, 55.700, fisrtframe, 36.901, 16frames_time, 129.651, imgproc_time, 111.699, 
index, 0000000024, temp, 55.700, fisrtframe, 33.909, 16frames_time, 127.656, imgproc_time, 68.816, 
index, 0000000025, temp, 55.700, fisrtframe, 33.909, 16frames_time, 128.655, imgproc_time, 65.822, 
index, 0000000026, temp, 55.700, fisrtframe, 33.907, 16frames_time, 128.044, imgproc_time, 93.748, 
index, 0000000027, temp, 55.700, fisrtframe, 31.912, 16frames_time, 127.656, imgproc_time, 62.831, 
index, 0000000028, temp, 55.700, fisrtframe, 34.909, 16frames_time, 128.655, imgproc_time, 52.857, 
index, 0000000029, temp, 55.700, fisrtframe, 37.083, 16frames_time, 129.885, imgproc_time, 57.843, 
index, 0000000030, temp, 55.700, fisrtframe, 32.912, 16frames_time, 126.659, imgproc_time, 59.843, 
index, 0000000031, temp, 55.700, fisrtframe, 39.892, 16frames_time, 137.625, imgproc_time, 90.750, 
index, 0000000032, temp, 55.700, fisrtframe, 35.910, 16frames_time, 133.640, imgproc_time, 62.830, 
index, 0000000033, temp, 55.700, fisrtframe, 35.893, 16frames_time, 129.413, imgproc_time, 52.858, 
index, 0000000034, temp, 55.700, fisrtframe, 34.906, 16frames_time, 128.654, imgproc_time, 78.789, 
index, 0000000035, temp, 55.700, fisrtframe, 34.906, 16frames_time, 128.655, imgproc_time, 71.805, 
index, 0000000036, temp, 55.700, fisrtframe, 31.915, 16frames_time, 125.662, imgproc_time, 60.836, 
index, 0000000037, temp, 55.700, fisrtframe, 31.913, 16frames_time, 126.658, imgproc_time, 55.850, 
index, 0000000038, temp, 55.700, fisrtframe, 32.911, 16frames_time, 127.655, imgproc_time, 49.863, 
index, 0000000039, temp, 55.700, fisrtframe, 34.906, 16frames_time, 129.651, imgproc_time, 52.859, 
index, 0000000040, temp, 55.700, fisrtframe, 32.911, 16frames_time, 127.656, imgproc_time, 52.858, 
index, 0000000041, temp, 55.700, fisrtframe, 32.912, 16frames_time, 127.658, imgproc_time, 63.828, 
index, 0000000042, temp, 55.700, fisrtframe, 34.907, 16frames_time, 126.661, imgproc_time, 58.841, 
index, 0000000043, temp, 55.700, fisrtframe, 56.848, 16frames_time, 136.634, imgproc_time, 118.680, 
